Title,Release Year,Genre,IMDB Rating,Runtime,Age Rating,Production Country,Streaming Service,URL,type
Stree 2: Sarkate Ka Aatank,2024,"['Comedy', ' Horror']",7.4,2h 27min,UA,India,['Amazon Video'],https://www.justwatch.com/in/movie/stree-2,movie
Kill,2024,"['Drama', ' Mystery & Thriller', ' Action & Adventure', ' Crime']",7.6,1h 45min,A,India,['Hotstar'],https://www.justwatch.com/in/movie/kill-2024,movie
Deadpool & Wolverine,2024,"['Action & Adventure', ' Comedy', ' Science-Fiction']",7.9,2h 8min,A,United States,['Apple TV'],https://www.justwatch.com/in/movie/deadpool-3,movie
Sector 36,2024,"['Drama', ' Crime', ' Mystery & Thriller']",7.3,2h 4min,A,India,['Netflix'],https://www.justwatch.com/in/movie/sector-36,movie
The Greatest of All Time,2024,"['Mystery & Thriller', ' Action & Adventure', ' Drama', ' Science-Fiction']",6.3,3h 3min,UA,India,['Netflix'],https://www.justwatch.com/in/movie/thalapathy-68,movie
Thangalaan,2024,"['Action & Adventure', ' Fantasy', ' History', ' Drama']",7.1,2h 36min,UA,India,['Bookmyshow'],https://www.justwatch.com/in/movie/thangalaan,movie
Kalki 2898-AD,2024,['Drama'],,2h 56min,UA,India,['Amazon Prime Video'],https://www.justwatch.com/in/movie/project-k,movie
Saripodhaa Sanivaaram,2024,"['Action & Adventure', ' Mystery & Thriller', ' Drama']",7.2,2h 50min,UA,India,['Netflix'],https://www.justwatch.com/in/movie/saripodhaa-sanivaaram,movie
Bad Newz,2024,"['Romance', ' Comedy', ' Drama']",5.1,2h 20min,UA,India,['Amazon Prime Video'],https://www.justwatch.com/in/movie/untitled-vicky-kaushal-prime-video-project,movie
Munjya,2024,"['Comedy', ' Horror']",6.5,2h 3min,UA,India,['Hotstar'],https://www.justwatch.com/in/movie/munjha,movie
Double Ismart,2024,"['Mystery & Thriller', ' Action & Adventure', ' Science-Fiction']",2.9,2h 36min,UA,India,['Amazon Prime Video'],https://www.justwatch.com/in/movie/double-ismart,movie
Siddharth Roy,2024,"['Drama', ' Romance']",7.2,2h 28min,A,India,['aha'],https://www.justwatch.com/in/movie/siddharth-roy,movie
Inside Out 2,2024,"['Animation', ' Drama', ' Comedy', ' Kids & Family', ' Fantasy']",7.6,1h 37min,U,United States,['Apple TV'],https://www.justwatch.com/in/movie/inside-out-2,movie
Nunakkuzhi,2024,"['Comedy', ' Kids & Family']",6.8,2h 5min,UA,India,['Zee5'],https://www.justwatch.com/in/movie/nunakuzhi,movie
Rebel Ridge,2024,"['Crime', ' Action & Adventure', ' Mystery & Thriller', ' Drama']",6.9,2h 12min,UA,United States,['Netflix'],https://www.justwatch.com/in/movie/rebel-ridge,movie
The Fall Guy,2024,"['Romance', ' Action & Adventure', ' Comedy', ' Drama']",6.9,2h 6min,UA,"Australia, Canada, United States",['Apple TV'],https://www.justwatch.com/in/movie/the-fall-guy,movie
Mr Bachchan,2024,"['Drama', ' Romance', ' Action & Adventure', ' Mystery & Thriller', ' Crime']",3.6,2h 40min,UA,India,['Netflix'],https://www.justwatch.com/in/movie/mr-bachchan,movie
The Beast,2024,"['Drama', ' Romance', ' Science-Fiction', ' Mystery & Thriller']",6.5,2h 26min,UA,"France, Canada",['Amazon Prime Video'],https://www.justwatch.com/in/movie/la-bete,movie
Raayan,2024,"['Action & Adventure', ' Drama', ' Mystery & Thriller']",6.5,2h 25min,A,India,['Amazon Prime Video'],https://www.justwatch.com/in/movie/raayan,movie
Thalavan,2024,"['Crime', ' Mystery & Thriller', ' Drama']",7.2,2h 13min,A,India,['Apple TV+'],https://www.justwatch.com/in/movie/thalavan,movie
Maharaja,2024,"['Action & Adventure', ' Crime', ' Drama', ' Mystery & Thriller']",8.5,2h 21min,A,India,['Netflix'],https://www.justwatch.com/in/movie/maharaja-2024,movie
Salaar,2023,"['Mystery & Thriller', ' Action & Adventure', ' Crime', ' Drama']",6.6,2h 55min,A,India,['VI movies and tv'],https://www.justwatch.com/in/movie/salaar,movie
Aavesham,2024,"['Comedy', ' Action & Adventure']",7.8,2h 38min,A,India,['Amazon Prime Video'],https://www.justwatch.com/in/movie/aavesham-2024,movie
Ulajh,2024,"['Mystery & Thriller', ' Drama']",6.5,2h 14min,UA,India,['Netflix'],https://www.justwatch.com/in/movie/ulajh,movie
Vaazha: Biopic of a Billion Boys,2024,"['Comedy', ' Drama']",7.3,2h 5min,UA,India,['Hotstar'],https://www.justwatch.com/in/movie/vaazha,movie
Je Jatt Vigad Gya,2024,['Drama'],4.9,2h 12min,A,India,['Apple TV+'],https://www.justwatch.com/in/movie/je-jatt-vigad-gya,movie
Trisha on the Rocks,2024,"['Comedy', ' Romance']",5.4,2h 52min,UA,India,['Amazon Prime Video'],https://www.justwatch.com/in/movie/trisha-on-the-rocks,movie
Devara Part 1,2024,"['Action & Adventure', ' Drama', ' Mystery & Thriller']",6.5,2h 56min,UA,India,['Bookmyshow'],https://www.justwatch.com/in/movie/ntr-30,movie
It Ends with Us,2024,"['Drama', ' Romance']",6.5,2h 10min,A,United States,['Apple TV'],https://www.justwatch.com/in/movie/it-ends-with-us,movie
Pechi,2024,"['Horror', ' Fantasy']",6.0,1h 50min,UA,India,['Amazon Prime Video'],https://www.justwatch.com/in/movie/pechi,movie
The Buckingham Murders,2024,"['Drama', ' Mystery & Thriller', ' Crime']",7.2,1h 47min,UA,"United Kingdom, India",['Bookmyshow'],https://www.justwatch.com/in/movie/the-buckingham-murders,movie
Auron Mein Kahan Dum Tha,2024,"['Drama', ' Romance', ' Action & Adventure', ' Crime']",7.3,2h 30min,UA,India,['Amazon Prime Video'],https://www.justwatch.com/in/movie/auron-mein-kahan-dumtha,movie
Bhediya,2022,"['Comedy', ' Horror', ' Mystery & Thriller']",6.7,2h 36min,UA,India,['Jio Cinema'],https://www.justwatch.com/in/movie/bhediya,movie
Khel Khel Mein,2024,"['Comedy', ' Drama']",7.1,2h 15min,UA,India,['Apple TV+'],https://www.justwatch.com/in/movie/khel-khel-mein,movie
Kottukkaali,2024,['Drama'],6.5,1h 44min,UA,India,['Amazon Prime Video'],https://www.justwatch.com/in/movie/kottukkaali,movie
Committee Kurrollu,2024,['Drama'],8.7,2h 36min,UA,India,['Bookmyshow'],https://www.justwatch.com/in/movie/committee-kurrollu,movie
Despicable Me 4,2024,"['Animation', ' Kids & Family', ' Comedy', ' Action & Adventure', ' Science-Fiction', ' Crime']",6.2,1h 34min,U,United States,['Apple TV'],https://www.justwatch.com/in/movie/despicable-me-4-2024,movie
Bad Boys: Ride or Die,2024,"['Mystery & Thriller', ' Comedy', ' Action & Adventure', ' Crime']",6.6,1h 55min,A,United States,['Apple TV'],https://www.justwatch.com/in/movie/bad-boys-4,movie
Challengers,2024,"['Romance', ' Comedy', ' Drama', ' Sport']",7.2,2h 12min,A,"Italy, United States",['Amazon Prime Video'],https://www.justwatch.com/in/movie/challengers,movie
#AAY,2024,['Comedy'],6.5,2h 22min,A,India,['Netflix'],https://www.justwatch.com/in/movie/aay,movie
Kishkindha Kaandam,2024,"['Drama', ' Mystery & Thriller']",8.6,2h 13min,UA,India,['Bookmyshow'],https://www.justwatch.com/in/movie/kishkkindha-kandam,movie
Longlegs,2024,"['Crime', ' Horror', ' Mystery & Thriller']",6.7,1h 41min,A,"Canada, United States",['Apple TV+'],https://www.justwatch.com/in/movie/longlegs,movie
Golam,2024,['Crime'],7.2,2h 0min,UA,India,['Amazon Prime Video'],https://www.justwatch.com/in/movie/golam,movie
Dune: Part Two,2024,"['Science-Fiction', ' Action & Adventure', ' Drama']",8.5,2h 47min,UA,United States,['Apple TV'],https://www.justwatch.com/in/movie/dune-part-two,movie
Laapataa Ladies,2024,"['Comedy', ' Drama']",8.4,2h 2min,UA,India,['Netflix'],https://www.justwatch.com/in/movie/laapataa-ladies,movie
