Title,Release Year,Genre,IMDB Rating,Runtime,Age Rating,Production Country,Streaming Service,URL,type
From,2022,"['Science-Fiction', ' Mystery & Thriller', ' Drama', ' Horror']",7.7,50min,,United States,['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/from,tv_show
Taaza Khabar,2023,"['Science-Fiction', ' Mystery & Thriller', ' Action & Adventure', ' Comedy', ' Drama', ' Fantasy']",8.1,30min,,India,['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/taaza-khabar,tv_show
Mirzapur,2018,"['Action & Adventure', ' Drama', ' Crime', ' Mystery & Thriller']",8.4,50min,A,India,['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/mirzapur,tv_show
The Penguin,2024,"['Drama', ' Fantasy', ' Crime']",8.8,1h 1min,,United States,['Jio Cinema'],https://www.justwatch.com/in/tv-show/the-penguin,tv_show
Adam's Sweet Agony,2024,['Animation'],,3min,,Japan,['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/adams-sweet-agony,tv_show
Call Me Bae,2024,"['Romance', ' Drama', ' Comedy']",6.2,39min,,India,['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/call-me-bae,tv_show
The Lord of the Rings: The Rings of Power,2022,"['Action & Adventure', ' Science-Fiction', ' Drama', ' Fantasy']",6.9,1h 8min,,United States,['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/the-lord-of-the-rings-the-rings-of-power,tv_show
Gyaarah Gyaarah,2024,"['Drama', ' Fantasy', ' Science-Fiction']",8.2,44min,A,India,['Zee5'],https://www.justwatch.com/in/tv-show/gyaarah-gyaarah,tv_show
Shōgun,2024,"['War & Military', ' Drama', ' History']",8.6,59min,,United States,['Hotstar'],https://www.justwatch.com/in/tv-show/shogun-2024,tv_show
The Old Man,2022,"['Action & Adventure', ' Drama', ' Mystery & Thriller']",7.6,53min,,United States,['Hotstar'],https://www.justwatch.com/in/tv-show/the-old-man,tv_show
Game of Thrones,2011,"['Action & Adventure', ' Science-Fiction', ' Drama', ' Fantasy']",9.2,58min,U,United States,['Jio Cinema'],https://www.justwatch.com/in/tv-show/game-of-thrones,tv_show
IC 814: The Kandahar Hijack,2024,"['Drama', ' History', ' Mystery & Thriller', ' War & Military']",5.6,38min,,India,['Netflix'],https://www.justwatch.com/in/tv-show/ic-814,tv_show
Panchayat,2020,"['Drama', ' Comedy']",9.0,35min,,India,['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/panchayat,tv_show
Agatha All Along,2024,"['Science-Fiction', ' Action & Adventure', ' Mystery & Thriller', ' Comedy', ' Drama', ' Fantasy']",6.8,39min,,United States,['Hotstar'],https://www.justwatch.com/in/tv-show/agatha-house-of-harkness,tv_show
House of the Dragon,2022,"['Action & Adventure', ' Science-Fiction', ' Drama', ' Fantasy', ' Romance']",8.4,1h 2min,A,United States,['Jio Cinema'],https://www.justwatch.com/in/tv-show/house-of-the-dragon,tv_show
Tulsa King,2022,"['Drama', ' Crime']",8.0,40min,,United States,['Jio Cinema'],https://www.justwatch.com/in/tv-show/tulsa-king,tv_show
XXX: Uncensored,2018,"['Comedy', ' Drama', ' Romance']",4.8,22min,,India,['Alt Balaji'],https://www.justwatch.com/in/tv-show/x-x-x-uncensored,tv_show
Only Murders in the Building,2021,"['Comedy', ' Crime', ' Drama', ' Mystery & Thriller']",8.1,35min,,United States,['Hotstar'],https://www.justwatch.com/in/tv-show/only-murders-in-the-building,tv_show
Nobody Wants This,2024,['Comedy'],8.2,26min,,United States,['Netflix'],https://www.justwatch.com/in/tv-show/nobody-wants-this,tv_show
The Boys,2019,"['Action & Adventure', ' Science-Fiction', ' Crime', ' Drama', ' Comedy']",8.7,1h 1min,A,United States,['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/the-boys,tv_show
Bigg Boss,2006,"['Reality TV', ' Kids & Family']",3.6,1h 15min,,India,['Hotstar'],https://www.justwatch.com/in/tv-show/bigg-boss,tv_show
Mastram,2020,"['Drama', ' Comedy', ' Fantasy']",6.9,28min,,India,['VI movies and tv'],https://www.justwatch.com/in/tv-show/mastram,tv_show
Tell Me Lies,2022,['Drama'],6.7,50min,A,United States,['Hotstar'],https://www.justwatch.com/in/tv-show/tell-me-lies,tv_show
Attack on Titan,2013,"['Animation', ' Action & Adventure', ' Drama', ' Fantasy', ' Horror', ' Science-Fiction']",9.1,25min,UA,Japan,['Anime Times Amazon Channel'],https://www.justwatch.com/in/tv-show/attack-on-titan,tv_show
Shekhar Home,2024,"['Crime', ' Drama']",8.2,42min,,India,['Jio Cinema'],https://www.justwatch.com/in/tv-show/shekhar-home,tv_show
Breaking Bad,2008,"['Drama', ' Crime', ' Mystery & Thriller']",9.5,47min,A,United States,['Netflix'],https://www.justwatch.com/in/tv-show/breaking-bad,tv_show
The Perfect Couple,2024,"['Mystery & Thriller', ' Crime', ' Drama']",6.5,51min,A,United States,['Netflix'],https://www.justwatch.com/in/tv-show/the-perfect-couple,tv_show
The Great Indian Kapil Show,2024,['Comedy'],6.8,57min,,India,['Netflix'],https://www.justwatch.com/in/tv-show/untitled-kapil-sharma-netflix-project,tv_show
Farzi,2023,"['Crime', ' Drama', ' Mystery & Thriller']",8.3,56min,,India,['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/farzi,tv_show
Slow Horses,2022,"['Crime', ' Drama', ' Comedy', ' Mystery & Thriller']",8.2,45min,A,United Kingdom,['Apple TV Plus'],https://www.justwatch.com/in/tv-show/slow-horses,tv_show
Monsters: The Lyle and Erik Menendez Story,2024,"['Drama', ' Crime', ' Horror', ' Mystery & Thriller']",7.9,52min,A,United States,['Netflix'],https://www.justwatch.com/in/tv-show/monsters-the-lyle-and-erik-menendez-story,tv_show
Into the Fire: The Lost Daughter,2024,"['Crime', ' Documentary', ' Mystery & Thriller']",7.6,1h 16min,,United States,['Netflix'],https://www.justwatch.com/in/tv-show/into-the-fire-the-lost-daughter,tv_show
Auto Shankar,2019,"['Crime', ' Mystery & Thriller']",6.8,30min,UA,India,['Zee5'],https://www.justwatch.com/in/tv-show/auto-shankar,tv_show
Love Next Door,2024,"['Drama', ' Comedy', ' Romance']",8.2,1h 20min,,South Korea,['Netflix'],https://www.justwatch.com/in/tv-show/moms-friends-son,tv_show
Apharan,2018,"['Action & Adventure', ' Crime', ' Mystery & Thriller', ' Drama']",8.2,24min,,India,['Alt Balaji'],https://www.justwatch.com/in/tv-show/apharan,tv_show
Naruto Shippūden,2007,"['Science-Fiction', ' Animation', ' Action & Adventure', ' Fantasy', ' Comedy', ' Drama']",8.7,24min,U,Japan,['Crunchyroll'],https://www.justwatch.com/in/tv-show/naruto-shippuden,tv_show
The Rookie,2018,"['Drama', ' Comedy', ' Crime', ' Action & Adventure']",8.0,42min,,United States,['Crunchyroll'],https://www.justwatch.com/in/tv-show/the-rookie,tv_show
Demon Slayer: Kimetsu no Yaiba,2019,"['Action & Adventure', ' Science-Fiction', ' Fantasy', ' Mystery & Thriller', ' Animation']",8.6,26min,,Japan,['Crunchyroll'],https://www.justwatch.com/in/tv-show/demon-slayer-kimetsu-no-yaiba,tv_show
Dark,2017,"['Science-Fiction', ' Mystery & Thriller', ' Crime', ' Drama']",8.7,56min,,Germany,['Netflix'],https://www.justwatch.com/in/tv-show/dark,tv_show
Gandii Baat,2018,"['Drama', ' Crime', ' Mystery & Thriller']",3.4,44min,A,India,['Alt Balaji'],https://www.justwatch.com/in/tv-show/gandii-baat,tv_show
No Gain No Love,2024,"['Comedy', ' Romance', ' Drama']",7.9,1h 8min,,South Korea,['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/no-gain-no-love,tv_show
Lost,2004,"['Mystery & Thriller', ' Action & Adventure', ' Drama', ' Fantasy', ' Science-Fiction']",8.3,43min,U,United States,['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/lost,tv_show
Sunflower,2021,"['Crime', ' Comedy']",7.4,38min,A,India,['Zee5'],https://www.justwatch.com/in/tv-show/sunflower-2021,tv_show
Kaos,2024,"['Drama', ' Fantasy', ' Comedy', ' Science-Fiction']",7.5,50min,A,United Kingdom,['Netflix'],https://www.justwatch.com/in/tv-show/kaos,tv_show
Euphoria,2019,['Drama'],8.3,58min,A,United States,['Jio Cinema'],https://www.justwatch.com/in/tv-show/euphoria,tv_show
The Bear,2022,"['Drama', ' Comedy']",8.6,34min,,United States,['Hotstar'],https://www.justwatch.com/in/tv-show/the-bear,tv_show
Money Heist,2017,"['Action & Adventure', ' Crime', ' Drama', ' Mystery & Thriller', ' Made in Europe']",8.2,50min,,Spain,['Netflix'],https://www.justwatch.com/in/tv-show/paperhouse,tv_show
The Family Man,2019,"['Comedy', ' Drama', ' Action & Adventure', ' Mystery & Thriller']",8.7,45min,,India,['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/the-family-man,tv_show
Tanaav,2022,"['Drama', ' Crime']",,34min,,India,['Sony Liv'],https://www.justwatch.com/in/tv-show/tanaav,tv_show
Terminator Zero,2024,"['Science-Fiction', ' Animation', ' Action & Adventure']",7.0,28min,A,"United States, Japan",['Netflix'],https://www.justwatch.com/in/tv-show/terminator-zero,tv_show
Industry,2020,['Drama'],7.3,57min,,"United States, United Kingdom",['Jio Cinema'],https://www.justwatch.com/in/tv-show/industry,tv_show
Hidden Love,2023,['Drama'],,45min,,China,['Netflix'],https://www.justwatch.com/in/tv-show/hidden-love,tv_show
Person of Interest,2011,"['Action & Adventure', ' Science-Fiction', ' Crime', ' Drama', ' Mystery & Thriller']",8.5,44min,U,United States,['Netflix'],https://www.justwatch.com/in/tv-show/person-of-interest,tv_show
Emily in Paris,2020,"['Comedy', ' Drama', ' Romance']",6.8,31min,,United States,['Netflix'],https://www.justwatch.com/in/tv-show/emily-in-paris,tv_show
Asur: Welcome to Your Dark Side,2020,"['Drama', ' Mystery & Thriller', ' Crime']",8.5,47min,,India,['Jio Cinema'],https://www.justwatch.com/in/tv-show/asur,tv_show
