Title,Release Year,Genre,IMDB Rating,Runtime,Age Rating,Production Country,Streaming Service,URL,type
Stree 2: Sarkate Ka Aatank,2024,"['Comedy', ' Horror']",7.4,2h 27min,UA,India,['Amazon Video'],https://www.justwatch.com/in/movie/stree-2,movie
Tumbbad,2018,"['Fantasy', ' Horror', ' Drama', ' Mystery & Thriller', ' Made in Europe']",8.2,1h 53min,A,"India, Sweden",['Bookmyshow'],https://www.justwatch.com/in/movie/tumbbad,movie
Kill,2024,"['Drama', ' Mystery & Thriller', ' Action & Adventure', ' Crime']",7.6,1h 45min,A,India,['Hotstar'],https://www.justwatch.com/in/movie/kill-2024,movie
Deadpool & Wolverine,2024,"['Action & Adventure', ' Comedy', ' Science-Fiction']",7.9,2h 8min,A,United States,['Apple TV'],https://www.justwatch.com/in/movie/deadpool-3,movie
Sector 36,2024,"['Drama', ' Crime', ' Mystery & Thriller']",7.3,2h 4min,A,India,['Netflix'],https://www.justwatch.com/in/movie/sector-36,movie
Stree,2018,"['Horror', ' Comedy', ' Drama']",7.5,2h 8min,UA,India,['Amazon Prime Video'],https://www.justwatch.com/in/movie/stree,movie
The Greatest of All Time,2024,"['Mystery & Thriller', ' Action & Adventure', ' Drama', ' Science-Fiction']",6.3,3h 3min,UA,India,['Netflix'],https://www.justwatch.com/in/movie/thalapathy-68,movie
Thangalaan,2024,"['Action & Adventure', ' Fantasy', ' History', ' Drama']",7.1,2h 36min,UA,India,['Bookmyshow'],https://www.justwatch.com/in/movie/thangalaan,movie
Kalki 2898-AD,2024,['Drama'],,2h 56min,UA,India,['Amazon Prime Video'],https://www.justwatch.com/in/movie/project-k,movie
Saripodhaa Sanivaaram,2024,"['Action & Adventure', ' Mystery & Thriller', ' Drama']",7.2,2h 50min,UA,India,['Netflix'],https://www.justwatch.com/in/movie/saripodhaa-sanivaaram,movie
Bad Newz,2024,"['Romance', ' Comedy', ' Drama']",5.1,2h 20min,UA,India,['Amazon Prime Video'],https://www.justwatch.com/in/movie/untitled-vicky-kaushal-prime-video-project,movie
